Country/Region,WHO Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,ActiveCases,NewCases,NewDeaths,MortalityRate,RecoveryRate
Afghanistan,Eastern Mediterranean,1936390,49098,798240,1089052,36263,1269,25198,1089052,,,2.535542943312039,41.22310071834703
Albania,Europe,196702,5708,118877,72117,4880,144,2745,72117,,,2.9018515317587013,60.43507437646796
Algeria,Africa,1179755,77972,755897,345886,27973,1163,18837,345886,,,6.609168852855042,64.07237095837695
Andorra,Europe,94404,5423,69074,19907,907,52,803,19907,,,5.7444599805093,73.1685098089064
Angola,Africa,22662,1078,6573,15011,950,41,242,15011,,,4.756861706821993,29.00450092666137
Antigua and Barbuda,Americas,4487,326,2600,1561,87,3,65,1561,,,7.265433474481836,57.94517494985514
Argentina,Americas,4450658,97749,1680024,2672885,167416,3059,72575,2672885,,,2.1962819879667235,37.74776673471653
Armenia,Europe,1587173,27089,857482,702602,37390,711,26665,702602,,,1.706745263433791,54.02574262541009
Australia,Western Pacific,960247,11387,711928,236932,15303,167,9311,236932,,,1.1858407263964377,74.14009103907641
Austria,Europe,2034986,71390,1638380,325216,20558,713,18246,325216,,,3.5081322426788195,80.51062759154118
Azerbaijan,Europe,1134717,14282,703402,417033,30446,423,23242,417033,,,1.2586398194439672,61.98920083157298
Bahamas,Americas,12100,1203,6047,4850,382,11,91,4850,,,9.942148760330578,49.97520661157025
Bahrain,Eastern Mediterranean,1755206,5115,1334787,415304,39482,141,36110,415304,,,0.2914187850315006,76.04731296497391
Bangladesh,South-East Asia,8754729,115633,3714702,4924394,226225,2965,125683,4924394,,,1.3208061608760249,42.43080511115764
Barbados,Americas,10652,738,7444,2470,110,7,94,2470,,,6.928276380022531,69.88358993616222
Belarus,Europe,4426759,28391,2771925,1626443,67251,538,60492,1626443,,,0.6413495742596332,62.61748154801289
Belgium,Europe,6281116,963679,1627492,3689945,66428,9822,17452,3689945,,,15.342480540082368,25.9108731633041
Belize,Americas,2636,222,1618,796,48,2,26,796,,,8.42185128983308,61.38088012139605
Benin,Africa,64406,1095,25911,37400,1979,35,1036,37400,,,1.7001521597366702,40.23072384560445
Bhutan,South-East Asia,4971,0,2838,2133,99,0,86,2133,,,0.0,57.091128545564274
Bolivia,Americas,2170351,78032,571653,1520666,71181,2647,21478,1520666,,,3.5953631463297873,26.33919582592862
Bosnia and Herzegovina,Europe,396634,16373,207156,173105,10498,294,4930,173105,,,4.127987010694999,52.22850285149533
Botswana,Africa,15306,120,2291,12895,739,2,63,12895,,,0.7840062720501764,14.967986410557952
Brazil,Americas,89524967,3938034,54492873,31094060,2442375,87618,1846641,31094060,,,4.398810892608316,60.86891157413105
Brunei,Western Pacific,18168,226,15262,2680,141,3,138,2680,,,1.2439453985028623,84.0048436811977
Bulgaria,Europe,410722,17654,182621,210447,10621,347,5585,210447,,,4.298284484395771,44.463408339460756
Burkina Faso,Africa,96153,5583,74876,15694,1100,53,926,15694,,,5.806371096065646,77.87172527118238
